Group;Identifier;Icon;Name;;;;;;;;;;;;;;;;;;
15 Internet;magnifyingglass;􀊫;Search;;;;;;;;;;;;;;;;;;
15 Internet;bolt.fill;􀋦;Bolt;energie;power;;;;;;;;;;;;;;;;
15 Internet;flashlight.on.fill;􀞋;Flashlight;light;;;;;;;;;;;;;;;;;
15 Internet;wifi;􀙇;Wifi;internet;;;;;;;;;;;;;;;;;
15 Internet;safari.fill;􀎭;Web;browse;safari;;;;;;;;;;;;;;;;
15 Internet;battery.25;􀛩;Battery;charge;phone;Empty;charger;;;;;;;;;;;;;;
15 Internet;ant.fill;􀌛;Bug;ant;error;fix;;;;;;;;;;;;;;;
15 Internet;arrow.merge;􀖄;Merge;Pull;request;merge;Fork;;;;;;;;;;;;;;
16 Photo;camera.fill;􀌟;Camera;pictures;shot;photo;image;;;;;;;;;;;;;;
16 Photo;photo.fill;􀏆;Photo;image;print;;;;;;;;;;;;;;;;
17 Music;music.note;􀑪;Music;Instrument;listen;song;Tune;band;;;;;;;;;;;;;
17 Music;music.mic;􀑫;Singing;song;sing;voice;Karaoke;;;;;;;;;;;;;;
17 Music;tuningfork;􀎐;Tuning;Instrument;tune;fork;;;;;;;;;;;;;;;
17 Music;guitars;􀑭;Guitar;;;;;;;;;;;;;;;;;;
17 Music;pianokeys;􀎏;Piano;Music;;;;;;;;;;;;;;;;;
17 Music;mic.fill;􀊱;Mic;Podcast;Micophone;record;;;;;;;;;;;;;;;
17 Music;hifispeaker.fill;􀝏;Speaker;Hifi;music;sound;;;;;;;;;;;;;;;
17 Music;headphones;􀑈;Headphones;;;;;;;;;;;;;;;;;;
18 Health;bandage.fill;􀎔;Bandage;Injury;recover;;;;;;;;;;;;;;;;
18 Health;eyedropper;􀎗;Eyedropper;Eye;drops;;;;;;;;;;;;;;;;
18 Health;stethoscope;􀝾;Doctor;;;;;;;;;;;;;;;;;;
18 Health;pills.fill;􀠲;Pills;;;;;;;;;;;;;;;;;;
18 Health;mdi.pharmacy;􀣟;Pharmacy;Medicin ;sick;Ill;;;;;;;;;;;;;;;
19 Sign;mdi.instagram;;Instagram;;;;;;;;;;;;;;;;;;
19 Sign;mdi.twitter;;Twitter;;;;;;;;;;;;;;;;;;
19 Sign;exclamationmark.triangle.fill;􀇿;Warning;Cation;hot;;;;;;;;;;;;;;;;
19 Sign;xmark.octagon.fill;􀒊;Error;mistake;;;;;;;;;;;;;;;;;
19 Sign;burn;􀓜;Danger;caution;Death;;;;;;;;;;;;;;;;
19 Sign;heart.fill;􀊵;Heart;love;like;;;;;;;;;;;;;;;;
19 Sign;star.fill;􀋃;Star;;;;;;;;;;;;;;;;;;
19 Sign;flag.fill;􀋊;Flag;deadline;Finish;goal;;;;;;;;;;;;;;;
19 Sign;location.fill;􀋒;Location;;;;;;;;;;;;;;;;;;
19 Sign;bell.fill;􀋚;Bell;Notification;;;;;;;;;;;;;;;;;
19 Sign;tag.fill;􀋢;Tag;;;;;;;;;;;;;;;;;;
19 Sign;smiley.fill;􀙌;Smile;Happy;positive;;;;;;;;;;;;;;;;
19 Sign;shield.fill;􀙧;Shield;protect;;;;;;;;;;;;;;;;;
20 Other;wand.and.stars;􀜍;Magic;wand;Harry;potter;;;;;;;;;;;;;;;
20 Other;pin.fill;􀎧;Pin;;;;;;;;;;;;;;;;;;
20 Other;map.fill;􀙋;Map;location;Travel;Holiday;;;;;;;;;;;;;;;
20 Other;ear;􀜣;Ear;listen;;;;;;;;;;;;;;;;;
20 Other;hand.raised.fill;􀉼;Hand;highfive;;;;;;;;;;;;;;;;;
20 Other;hand.thumbsup.fill;􀊀;Thumbs Up;Praise;positive;;;;;;;;;;;;;;;;
20 Other;hand.thumbsdown.fill;􀊂;Thumbs Down;negtive;Disappointment;;;;;;;;;;;;;;;;
20 Other;eyeglasses;􀖆;Glasses;eye;;;;;;;;;;;;;;;;;
